Visit "Chi Squared" "Degrees Of Freedom"
1.0 0.0314370776908 3
1.0 5.63700165807 12
1.0 5.63700165807 12
1.0 0.00582404130382 2
10.0 0.00793582767365 2
10.0 1.26968450269 15
10.0 1.26968450269 15
10.0 0.0320655738208 6
2.0 0.025975409204 4
2.0 5.19287142397 14
2.0 5.19287142397 14
2.0 0.0505449732711 2
3.0 0.0415638777273 6
3.0 1.76620454379 16
3.0 1.76620454379 16
3.0 0.0168321941107 3
4.0 0.0112182290685 3
4.0 1.5888744454 16
4.0 1.5888744454 16
4.0 0.00601122743201 5
5.0 0.210410541116 7
5.0 2.58398826854 18
5.0 2.58398826854 18
5.0 0.00278672635821 3
6.0 0.0158528883686 3
6.0 2.7899346013 12
6.0 2.7899346013 12
6.0 0.0416718348119 3
7.0 0.0231923200651 3
7.0 1.52115474292 15
7.0 1.52115474292 15
7.0 0.0598149030017 4
8.0 0.00309623598868 2
8.0 1.8174562551 16
8.0 1.8174562551 16
8.0 0.106102948173 6
9.0 0.0215316186772 4
9.0 1.67858219583 15
9.0 1.67858219583 15
9.0 0.0240652866055 3
