col1 col2
1663.4 3.92863917251e-15
1664.77 5.98338525158e-15
1666.14 7.41294847049e-15
1667.51 8.05574871038e-15
1668.88 8.19577736044e-15
1670.25 8.29436667537e-15
1671.62 8.5349508676e-15
1672.99 8.57213723588e-15
1674.36 8.45417567495e-15
1675.73 8.44976996415e-15
1677.1 8.43972135538e-15
1678.47 8.33927496215e-15
1679.84 8.21053971849e-15
1681.21 7.8837926471e-15
1682.58 7.21072346265e-15
1683.95 6.27971464361e-15
1685.32 5.28083298497e-15
1686.69 4.63416271099e-15
1688.06 4.32365448555e-15
1689.43 4.16636018051e-15
1690.8 4.05311554445e-15
1692.17 3.80304168611e-15
1693.54 3.47381272684e-15
1694.91 3.27385393124e-15
1696.28 3.31834490779e-15
1697.65 3.50284348364e-15
1699.02 3.68297460089e-15
1700.39 3.8150279835e-15
1701.76 3.93829316465e-15
1703.13 4.00858968665e-15
1704.5 4.05227518305e-15
1705.87 4.17534840426e-15
1707.24 4.24421639664e-15
1708.61 4.06853810514e-15
1709.98 3.73934046913e-15
1711.35 3.40958730485e-15
1712.72 3.15398288825e-15
1714.09 2.99595653873e-15
1715.46 2.86250439564e-15
1716.83 2.7072309758e-15
1718.2 2.44912872609e-15
1719.57 2.09976071466e-15
1720.94 1.89087669041e-15
1722.31 1.96123839611e-15
1723.68 2.19426609908e-15
1725.05 2.43682758775e-15
1726.42 2.64175946292e-15
1727.79 2.70748384366e-15
1729.16 2.52405984063e-15
1730.53 2.19968234241e-15
1731.9 1.96069473433e-15
1733.27 1.97074804373e-15
1734.64 2.21216797979e-15
1736.01 2.60068264066e-15
1737.38 3.03927316704e-15
1738.75 3.3720527763e-15
1740.12 3.44907837522e-15
1741.49 3.21120960231e-15
1742.86 2.84898996373e-15
1744.23 2.56849302512e-15
1745.6 2.44157254648e-15
1746.97 2.46998887416e-15
1748.34 2.61644873931e-15
1749.71 2.80388542443e-15
1751.08 2.88305388245e-15
1752.45 2.87556533502e-15
1753.82 2.88459977054e-15
1755.19 2.95704238519e-15
1756.56 3.16305920944e-15
1757.93 3.48533993189e-15
1759.3 3.76527811468e-15
1760.67 3.83954061066e-15
1762.04 3.65810961353e-15
1763.41 3.25874762901e-15
1764.78 2.78557826457e-15
1766.15 2.38420130097e-15
1767.52 2.14518844605e-15
1768.89 2.13350277614e-15
1770.26 2.16785299144e-15
1771.63 2.1289684647e-15
1773.0 2.15923894191e-15
1774.37 2.43109071905e-15
1775.74 2.86980367959e-15
1777.11 3.22474124764e-15
1778.48 3.33592295022e-15
1779.85 3.16898198462e-15
1781.22 2.88145197637e-15
1782.59 2.6411572485e-15
1783.96 2.60574980837e-15
1785.33 2.78831573306e-15
1786.7 3.02219844503e-15
1788.07 3.11677569495e-15
1789.44 3.02040066517e-15
1790.81 2.81714122134e-15
1792.18 2.57937580298e-15
1793.55 2.34092897108e-15
1794.92 2.09892381247e-15
1796.29 1.8975143771e-15
1797.66 1.76006381297e-15
1799.03 1.72022651355e-15
1800.4 1.81694950299e-15
1801.77 1.95106618876e-15
1803.14 1.98606984906e-15
1804.51 1.90106801565e-15
1805.88 1.75185127075e-15
1807.25 1.59658495053e-15
1808.62 1.44541947929e-15
1809.99 1.32894413414e-15
1811.36 1.2845579745e-15
1812.73 1.31900564782e-15
1814.1 1.41508627348e-15
1815.47 1.52857101744e-15
1816.84 1.65283391655e-15
1818.21 1.76935500318e-15
1819.58 1.83546149835e-15
1820.95 1.86118136168e-15
1822.32 1.88507655154e-15
1823.69 1.90347654385e-15
1825.06 1.90484869665e-15
1826.43 1.82661885689e-15
1827.8 1.62246344839e-15
1829.17 1.38582983849e-15
1830.54 1.17944249366e-15
1831.91 1.01561982759e-15
1833.28 9.31031113286e-16
1834.65 8.81062100727e-16
1836.02 8.14988831962e-16
1837.39 7.53963792064e-16
1838.76 7.30659066758e-16
1840.13 7.72502465403e-16
1841.5 9.07334705283e-16
1842.87 1.10314100732e-15
1844.24 1.30606180935e-15
1845.61 1.48855382293e-15
1846.98 1.64939350542e-15
1848.35 1.78368564397e-15
1849.72 1.85643203013e-15
1851.09 1.82240775904e-15
1852.46 1.67633896305e-15
1853.83 1.50120391413e-15
1855.2 1.36292108785e-15
1856.57 1.31526940666e-15
1857.94 1.38176761666e-15
1859.31 1.5814750779e-15
1860.68 1.86777616208e-15
1862.05 2.09031906825e-15
1863.42 2.13539027168e-15
