col1 col2
1585.16 1.98330000209e-15
1586.71 3.07176422948e-15
1588.25 3.69464626344e-15
1589.79 3.79872115336e-15
1591.34 3.51327194274e-15
1592.88 3.01911590686e-15
1594.43 2.52856279233e-15
1595.97 2.18606712791e-15
1597.51 2.02345535979e-15
1599.06 2.03275395506e-15
1600.6 2.08888442929e-15
1602.14 2.1287096531e-15
1603.69 2.18427924327e-15
1605.23 2.21422205409e-15
1606.77 2.13399130771e-15
1608.32 1.93350018133e-15
1609.86 1.64072578311e-15
1611.4 1.31209924849e-15
1612.95 1.02556242627e-15
1614.49 8.1017542259e-16
1616.04 7.13878957217e-16
1617.58 7.65045819159e-16
1619.12 8.73713877457e-16
1620.67 9.62138038394e-16
1622.21 1.0135154002e-15
1623.75 1.02269500033e-15
1625.3 1.00675358115e-15
1626.84 9.98992252228e-16
1628.38 1.00103411487e-15
1629.93 9.83098598362e-16
1631.47 9.19771646737e-16
1633.02 8.15123532053e-16
1634.56 7.2694302913e-16
1636.1 6.80763168066e-16
1637.65 6.74805339986e-16
1639.19 7.05105880579e-16
1640.73 7.41596570524e-16
1642.28 7.52626511148e-16
1643.82 7.26665318055e-16
1645.37 6.97030795494e-16
1646.91 7.07458713171e-16
1648.45 7.47795130175e-16
1650.0 7.72235295118e-16
1651.54 7.71985669163e-16
1653.09 7.6436786034e-16
1654.63 7.49262123638e-16
1656.17 7.21282657116e-16
1657.72 6.77985094522e-16
1659.26 6.33430998727e-16
1660.8 5.81414884235e-16
1662.35 5.14453751062e-16
1663.89 4.5073477102e-16
1665.44 4.16279016138e-16
1666.98 4.0891261296e-16
1668.52 4.18301464935e-16
1670.07 4.39184325595e-16
1671.61 4.498129406e-16
1673.16 4.36517792276e-16
1674.7 3.92706146656e-16
1676.24 3.31153880492e-16
1677.79 2.66709632316e-16
1679.33 2.10316634529e-16
1680.88 1.71438975774e-16
1682.42 1.60382354313e-16
1683.96 1.74849568378e-16
1685.51 2.08441042311e-16
1687.05 2.59342052749e-16
1688.6 3.20874853387e-16
1690.14 3.74460464009e-16
1691.68 3.98167185506e-16
1693.23 3.93503828377e-16
1694.77 3.78557478378e-16
1696.32 3.6269090659e-16
1697.86 3.42087307976e-16
1699.41 3.18734580421e-16
1700.95 2.93096812841e-16
1702.49 2.72498629265e-16
1704.04 2.56924100267e-16
1705.58 2.43823767113e-16
1707.13 2.39920458367e-16
1708.67 2.42250101441e-16
1710.21 2.37167947036e-16
1711.76 2.15262228676e-16
